accession	KO	target	score	evalue	threshold	pass
GCF_000340475.1	K05847	NZ_CM001792.1_1109	123.2	3.7e-36	368.67	False
GCF_000340475.1	K05847	NZ_CM001792.1_1217	121.4	1.3e-35	368.67	False
GCF_000340475.1	K05847	NZ_CM001792.1_1183	119.7	4.3e-35	368.67	False
GCF_000340475.1	K05847	NZ_CM001792.1_664	118.8	7.9e-35	368.67	False
GCF_000340475.1	K05847	NZ_CM001792.1_513	118.7	8.4e-35	368.67	False
GCF_000340475.1	K05847	NZ_CM001792.1_3254	118.4	1e-34	368.67	False
GCF_000340475.1	K05847	NZ_CM001792.1_996	116.6	3.6e-34	368.67	False
GCF_000340475.1	K05847	NZ_CM001792.1_1029	112.6	6e-33	368.67	False
GCF_000340475.1	K05847	NZ_CM001792.1_1031	107.6	1.9e-31	368.67	False
GCF_000340475.1	K05847	NZ_CM001792.1_3222	106.2	5.2e-31	368.67	False
GCF_000340475.1	K05847	NZ_CM001792.1_184	106.0	5.9e-31	368.67	False
GCF_000340475.1	K05847	NZ_CM001792.1_690	99.9	4.2e-29	368.67	False
GCF_000340475.1	K05847	NZ_CM001792.1_386	99.3	6.5e-29	368.67	False
GCF_000340475.1	K05847	NZ_CM001792.1_3360	78.3	1.5e-22	368.67	False
GCF_000340475.1	K05847	NZ_CM001792.1_961	78.2	1.6e-22	368.67	False
GCF_000340475.1	K05847	NZ_CM001792.1_416	78.1	1.8e-22	368.67	False
GCF_000340475.1	K05847	NZ_CM001792.1_439	70.2	4.4e-20	368.67	False
GCF_000340475.1	K05847	NZ_CM001792.1_2630	50.1	5.3e-14	368.67	False
GCF_000340475.1	K05847	NZ_CM001792.1_743	47.6	3.1e-13	368.67	False
GCF_000340475.1	K05847	NZ_CM001792.1_2456	44.3	3.1e-12	368.67	False
GCF_000340475.1	K05847	NZ_CM001792.1_473	25.5	1.6e-06	368.67	False
GCF_000340475.1	K02000	NZ_CM001792.1_3678	656.0	1.9e-197	421.03	True
GCF_000340475.1	K02000	NZ_CM001792.1_1064	648.7	3.2e-195	421.03	True
GCF_000340475.1	K02000	NZ_CM001792.1_3115	619.7	1.9e-186	421.03	True
GCF_000340475.1	K02000	NZ_CM001792.1_1747	344.3	4.4e-103	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_2460	286.3	1.7e-85	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_2854	267.4	8.4e-80	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_3348	265.5	3.3e-79	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_3334	264.7	5.4e-79	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_3542	257.6	8e-77	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_1197	252.1	3.6e-75	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_1071	233.2	1.9e-69	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_872	221.3	7.7e-66	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_557	218.3	6.2e-65	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_733	213.6	1.6e-63	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_2331	199.3	3.5e-59	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_3242	199.3	3.5e-59	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_1034	196.1	3.2e-58	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_2392	196.0	3.5e-58	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_2597	195.6	4.7e-58	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_3406	192.4	4.4e-57	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_768	183.6	2e-54	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_3407	181.7	7.4e-54	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_344	180.2	2.1e-53	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_3139	179.9	2.6e-53	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_3134	179.1	4.6e-53	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_2753	171.9	6.8e-51	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_3428	171.1	1.2e-50	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_2598	166.9	2.3e-49	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_604	164.7	1e-48	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_907	164.0	1.7e-48	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_2752	163.8	2e-48	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_56	162.8	3.9e-48	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_2713	159.4	4.3e-47	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_57	157.8	1.3e-46	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_2636	157.0	2.2e-46	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_3241	155.0	8.7e-46	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_3306	154.6	1.2e-45	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_3601	153.9	2e-45	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_2332	153.4	2.7e-45	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_438	146.1	4.5e-43	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_199	141.8	9e-42	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_1029	141.2	1.4e-41	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_2275	140.3	2.5e-41	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_474	139.6	4.2e-41	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_1137	137.2	2.3e-40	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_218	133.3	3.3e-39	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_3095	127.3	2.3e-37	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_753	126.8	3.2e-37	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_724	122.2	7.9e-36	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_440	120.2	3.1e-35	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_725	116.9	3.2e-34	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_3310	114.2	2e-33	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_541	113.2	4e-33	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_420	112.5	6.7e-33	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_2470	109.3	6.1e-32	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_975	107.3	2.4e-31	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_964	106.8	3.5e-31	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_996	105.9	6.7e-31	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_3513	105.6	7.9e-31	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_3558	102.2	9e-30	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_796	101.7	1.2e-29	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_1201	101.4	1.5e-29	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_1774	98.4	1.2e-28	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_3664	97.9	1.8e-28	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_269	97.7	2e-28	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_3254	96.4	5.1e-28	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_1031	94.4	2e-27	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_1299	93.3	4.4e-27	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_1463	92.2	9.6e-27	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_1298	91.1	1.9e-26	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_2203	90.2	3.7e-26	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_1086	90.0	4.4e-26	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_184	85.7	8.7e-25	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_1217	84.0	2.9e-24	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_383	83.9	3e-24	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_1166	83.9	3.1e-24	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_386	83.6	3.8e-24	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_1464	83.5	4.1e-24	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_414	75.6	9.6e-22	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_664	75.6	1e-21	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_1110	75.1	1.4e-21	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_1109	73.7	3.7e-21	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_1183	72.8	6.9e-21	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_513	67.4	2.9e-19	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_3360	66.9	4.1e-19	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_416	59.0	1.1e-16	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_930	58.6	1.4e-16	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_1167	58.2	1.8e-16	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_3222	56.6	5.5e-16	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_961	51.2	2.4e-14	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_2630	40.4	4.4e-11	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_2456	35.8	1.1e-09	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_2249	32.2	1.3e-08	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_690	30.4	4.8e-08	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_1290	28.3	2e-07	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_439	24.2	3.7e-06	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_1458	23.7	5e-06	421.03	False
GCF_000340475.1	K02000	NZ_CM001792.1_743	23.0	8.2e-06	421.03	False
GCF_000340475.1	K02001	NZ_CM001792.1_1065	439.9	4.9e-132	226.07	True
GCF_000340475.1	K02001	NZ_CM001792.1_3677	438.4	1.4e-131	226.07	True
GCF_000340475.1	K02001	NZ_CM001792.1_3114	417.1	3.8e-125	226.07	True
GCF_000340475.1	K02001	NZ_CM001792.1_1748	150.6	1.7e-44	226.07	False
GCF_000340475.1	K02001	NZ_CM001792.1_3676	118.9	6.5e-35	226.07	False
GCF_000340475.1	K02001	NZ_CM001792.1_3744	111.6	1e-32	226.07	False
GCF_000340475.1	K02001	NZ_CM001792.1_1064	62.5	7.6e-18	226.07	False
GCF_000340475.1	K02001	NZ_CM001792.1_3678	56.8	3.9e-16	226.07	False
GCF_000340475.1	K02001	NZ_CM001792.1_3541	55.7	8.7e-16	226.07	False
GCF_000340475.1	K02001	NZ_CM001792.1_1066	54.1	2.6e-15	226.07	False
GCF_000340475.1	K02001	NZ_CM001792.1_3115	51.1	2.2e-14	226.07	False
GCF_000340475.1	K02001	NZ_CM001792.1_2459	43.5	4.2e-12	226.07	False
GCF_000340475.1	K02001	NZ_CM001792.1_603	32.3	1e-08	226.07	False
GCF_000340475.1	K02001	NZ_CM001792.1_3113	31.6	1.7e-08	226.07	False
GCF_000340475.1	K02001	NZ_CM001792.1_3307	25.3	1.4e-06	226.07	False
GCF_000340475.1	K02002	NZ_CM001792.1_3676	343.4	4.2e-103	127.63	True
GCF_000340475.1	K02002	NZ_CM001792.1_3744	321.3	2e-96	127.63	True
GCF_000340475.1	K02002	NZ_CM001792.1_1066	286.0	9.9e-86	127.63	True
GCF_000340475.1	K02002	NZ_CM001792.1_3113	259.2	1.4e-77	127.63	True
GCF_000340475.1	K02002	NZ_CM001792.1_3677	125.9	3.2e-37	127.63	False
GCF_000340475.1	K02002	NZ_CM001792.1_1065	115.2	5.9e-34	127.63	False
GCF_000340475.1	K02002	NZ_CM001792.1_3114	105.4	5.4e-31	127.63	False
GCF_000340475.1	K02002	NZ_CM001792.1_1748	72.4	5.5e-21	127.63	False
GCF_000340475.1	K03312	NZ_CM001792.1_3355	295.2	2e-88	120.6	True
GCF_000340475.1	K03312	NZ_CM001792.1_794	269.1	1.6e-80	120.6	True
GCF_000340475.1	K03315	NZ_CM001792.1_1185	520.7	7e-157	184.73	True
GCF_000340475.1	K03315	NZ_CM001792.1_2443	99.7	2.4e-29	184.73	False
GCF_000340475.1	K03315	NZ_CM001792.1_954	28.8	7.7e-08	184.73	False
GCF_000340475.1	K03316	NZ_CM001792.1_3210	136.9	2.1e-40	424.4	False
GCF_000340475.1	K03317	NZ_CM001792.1_2922	524.6	9e-158	576.77	False
GCF_000340475.1	K03317	NZ_CM001792.1_1157	350.5	4.4e-105	576.77	False
GCF_000340475.1	K01547	NZ_CM001792.1_1205	235.7	1.8e-70	383.7	False
GCF_000340475.1	K01547	NZ_CM001792.1_1777	225.8	1.6e-67	383.7	False
GCF_000340475.1	K01547	NZ_CM001792.1_228	209.7	1.2e-62	383.7	False
GCF_000340475.1	K01547	NZ_CM001792.1_1552	164.0	8e-49	383.7	False
GCF_000340475.1	K03455	NZ_CM001792.1_1465	48.4	9.1e-14	666.1	False
GCF_000724775.3	K00133	NZ_CP010820.1_3636	473.9	2e-142	219.27	True
GCF_000724775.3	K00133	NZ_CP010820.1_1160	62.6	8.4e-18	219.27	False
GCF_000724775.3	K00133	NZ_CP010820.1_201	31.8	1.9e-08	219.27	False
GCF_000724775.3	K00133	NZ_CP010820.1_893	29.3	1e-07	219.27	False
GCF_000724775.3	K00133	NZ_CP010820.1_1219	24.7	2.7e-06	219.27	False
GCF_000724775.3	K00931	NZ_CP010820.1_2995	466.8	3.3e-140	285.2	True
GCF_000724775.3	K00931	NZ_CP010820.1_3668	29.5	1e-07	285.2	False
GCF_000724775.3	K00931	NZ_CP010820.1_3216	25.0	2.4e-06	285.2	False
GCF_000724775.3	K00931	NZ_CP010820.1_2406	23.9	5.3e-06	285.2	False
GCF_000724775.3	K00147	NZ_CP010820.1_2996	613.6	9.7e-185	550.87	True
GCF_000724775.3	K00147	NZ_CP010820.1_3272	64.7	1.6e-18	550.87	False
GCF_000724775.3	K00147	NZ_CP010820.1_3104	63.9	2.7e-18	550.87	False
GCF_000724775.3	K00147	NZ_CP010820.1_3932	59.8	4.7e-17	550.87	False
GCF_000724775.3	K00147	NZ_CP010820.1_4303	55.6	9e-16	550.87	False
GCF_000724775.3	K00147	NZ_CP010820.1_3010	37.0	3.9e-10	550.87	False
GCF_000724775.3	K00147	NZ_CP010820.1_1870	36.7	4.9e-10	550.87	False
GCF_000724775.3	K00147	NZ_CP010820.1_3958	35.4	1.2e-09	550.87	False
GCF_000724775.3	K00147	NZ_CP010820.1_4364	35.2	1.4e-09	550.87	False
GCF_000724775.3	K00147	NZ_CP010820.1_126	30.9	2.7e-08	550.87	False
GCF_000724775.3	K00147	NZ_CP010820.1_4161	27.0	4e-07	550.87	False
GCF_000724775.3	K00147	NZ_CP010820.1_1054	26.9	4.5e-07	550.87	False
GCF_000724775.3	K06718	NZ_CP010820.1_2134	48.2	2.2e-13	76.37	False
GCF_000724775.3	K06718	NZ_CP010820.1_3903	27.6	4.3e-07	76.37	False
GCF_000724775.3	K06718	NZ_CP010820.1_950	24.7	3.5e-06	76.37	False
GCF_000724775.3	K06718	NZ_CP010820.1_477	24.3	4.6e-06	76.37	False
GCF_000724775.3	K06721	NZ_CP010820.1_1496	23.9	5.8e-06	315.03	False
GCF_000724775.3	K00129	NZ_CP010820.1_3958	542.6	2.9e-163	783.5	False
GCF_000724775.3	K00129	NZ_CP010820.1_3010	236.7	1.3e-70	783.5	False
GCF_000724775.3	K00129	NZ_CP010820.1_539	211.5	5.7e-63	783.5	False
GCF_000724775.3	K00129	NZ_CP010820.1_1870	198.5	4.9e-59	783.5	False
GCF_000724775.3	K00129	NZ_CP010820.1_4364	195.8	3.2e-58	783.5	False
GCF_000724775.3	K00129	NZ_CP010820.1_126	183.7	1.5e-54	783.5	False
GCF_000724775.3	K00129	NZ_CP010820.1_4161	177.4	1.2e-52	783.5	False
GCF_000724775.3	K00129	NZ_CP010820.1_1054	177.4	1.2e-52	783.5	False
GCF_000724775.3	K00129	NZ_CP010820.1_129	161.0	1.1e-47	783.5	False
GCF_000724775.3	K00129	NZ_CP010820.1_3272	159.3	3.7e-47	783.5	False
GCF_000724775.3	K00129	NZ_CP010820.1_4303	158.7	5.5e-47	783.5	False
GCF_000724775.3	K00129	NZ_CP010820.1_3932	157.9	9.6e-47	783.5	False
GCF_000724775.3	K00129	NZ_CP010820.1_3104	30.9	2.9e-08	783.5	False
GCF_000724775.3	K00130	NZ_CP010820.1_539	696.4	8.4e-210	692.43	True
GCF_000724775.3	K00130	NZ_CP010820.1_126	606.3	1.6e-182	692.43	False
GCF_000724775.3	K00130	NZ_CP010820.1_3010	568.8	3.4e-171	692.43	False
GCF_000724775.3	K00130	NZ_CP010820.1_4364	553.8	1.2e-166	692.43	False
GCF_000724775.3	K00130	NZ_CP010820.1_129	461.4	1.1e-138	692.43	False
GCF_000724775.3	K00130	NZ_CP010820.1_1870	443.7	2.6e-133	692.43	False
GCF_000724775.3	K00130	NZ_CP010820.1_4161	414.2	2.1e-124	692.43	False
GCF_000724775.3	K00130	NZ_CP010820.1_1054	414.2	2.2e-124	692.43	False
GCF_000724775.3	K00130	NZ_CP010820.1_3272	391.3	1.9e-117	692.43	False
GCF_000724775.3	K00130	NZ_CP010820.1_3932	373.4	4.8e-112	692.43	False
GCF_000724775.3	K00130	NZ_CP010820.1_4303	371.1	2.3e-111	692.43	False
GCF_000724775.3	K00130	NZ_CP010820.1_3958	255.8	1.8e-76	692.43	False
GCF_000724775.3	K00130	NZ_CP010820.1_3104	79.4	4.7e-23	692.43	False
GCF_000724775.3	K05845	NZ_CP010820.1_2938	334.3	3.2e-100	108.03	True
GCF_000724775.3	K05845	NZ_CP010820.1_3500	35.0	1.8e-09	108.03	False
GCF_000724775.3	K05845	NZ_CP010820.1_3976	25.7	1.2e-06	108.03	False
GCF_000724775.3	K05846	NZ_CP010820.1_2938	417.1	3.6e-125	180.93	True
GCF_000724775.3	K05846	NZ_CP010820.1_2939	144.8	9.9e-43	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_3499	132.0	7.2e-39	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_3991	125.5	6.8e-37	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_980	112.8	4.7e-33	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_544	109.0	6.5e-32	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_979	98.0	1.4e-28	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_3599	97.4	2.2e-28	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_3498	96.2	5.1e-28	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_1027	94.9	1.2e-27	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_4311	93.9	2.6e-27	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_3408	87.9	1.6e-25	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_3885	86.3	5.1e-25	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_3910	84.1	2.3e-24	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_3978	83.7	3.2e-24	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_4637	82.2	8.8e-24	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_2503	77.9	1.7e-22	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_4310	76.2	5.7e-22	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_101	72.2	9.2e-21	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_1119	70.7	2.6e-20	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_885	68.9	9.6e-20	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_2263	68.7	1e-19	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_754	63.8	3.3e-18	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_3775	63.3	4.6e-18	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_3042	61.4	1.7e-17	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_3090	58.3	1.5e-16	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_199	57.9	2e-16	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_4609	56.9	4e-16	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_167	56.6	4.9e-16	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_3776	56.4	5.7e-16	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_3478	54.9	1.6e-15	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_3009	54.4	2.3e-15	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_3855	54.1	2.8e-15	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_1094	54.0	3e-15	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_3089	53.9	3.1e-15	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_4298	53.7	3.7e-15	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_1799	53.4	4.6e-15	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_4297	53.1	5.7e-15	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_3769	52.4	9.3e-15	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_755	52.2	1e-14	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_382	52.2	1.1e-14	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_1783	52.0	1.2e-14	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_3856	51.7	1.5e-14	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_2310	51.7	1.5e-14	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_2577	51.7	1.5e-14	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_3008	51.7	1.5e-14	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_1602	50.6	3.2e-14	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_4585	49.6	6.3e-14	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_3770	49.3	7.8e-14	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_448	49.1	9e-14	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_1120	49.0	1e-13	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_2910	47.0	4.1e-13	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_198	46.6	5.1e-13	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_2947	46.6	5.1e-13	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_2264	45.8	9.2e-13	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_1093	45.6	1.1e-12	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_1939	45.5	1.1e-12	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_121	45.5	1.1e-12	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_1782	45.5	1.2e-12	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_1066	45.1	1.4e-12	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_3630	45.1	1.5e-12	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_460	44.9	1.8e-12	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_3471	44.5	2.3e-12	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_3397	43.8	3.8e-12	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_1565	43.6	4.1e-12	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_2309	43.6	4.3e-12	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_3969	43.5	4.4e-12	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_2946	43.1	5.8e-12	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_606	42.1	1.2e-11	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_1931	42.0	1.3e-11	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_4048	41.0	2.5e-11	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_4402	41.0	2.6e-11	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_3645	40.9	2.8e-11	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_4486	40.5	3.6e-11	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_4627	40.2	4.7e-11	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_4247	40.0	5.1e-11	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_1900	39.7	6.5e-11	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_3573	39.5	7.3e-11	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_1601	39.3	8.3e-11	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_4638	38.9	1.1e-10	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_3391	37.9	2.2e-10	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_3923	37.9	2.2e-10	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_4226	37.7	2.6e-10	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_778	37.7	2.7e-10	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_856	37.5	2.9e-10	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_1781	37.4	3.3e-10	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_3458	36.1	7.8e-10	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_2982	35.9	9.1e-10	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_4283	34.9	1.8e-09	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_2350	34.1	3.3e-09	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_4227	34.0	3.5e-09	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_753	32.9	7.5e-09	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_4299	32.8	8.1e-09	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_2862	32.6	9.2e-09	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_2236	32.4	1e-08	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_3015	32.3	1.1e-08	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_2893	32.1	1.3e-08	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_1940	32.0	1.4e-08	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_4339	31.9	1.5e-08	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_561	31.3	2.3e-08	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_4354	31.1	2.6e-08	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_2297	30.6	3.7e-08	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_4538	30.4	4.1e-08	180.93	False
GCF_000724775.3	K05846	NZ_CP010820.1_3247	30.2	4.7e-08	180.93	False
